Claim_ID;Policy_ID;Accident_Date;Report_Date;Payment_Date;Indemnity
244;84830;2013-06-13;2013-06-16;2013-06-26;138
245;86189;2017-07-22;2017-08-04;2017-09-03;87
246;99310;2017-12-26;2018-02-01;2018-07-17;70
247;24845;2015-06-17;2015-06-22;2015-07-12;132
248;15215;2013-07-22;2013-08-03;2013-09-12;113
249;37891;2016-04-17;2016-04-27;2016-06-06;112
250;88245;2018-01-31;2018-02-04;2018-02-24;100
251;49668;2015-04-20;2015-04-29;2015-06-08;114
252;21687;2015-07-14;2015-08-19;2015-08-29;140
253;81599;2015-08-04;2015-08-09;2016-11-10;95
254;58894;2013-07-15;2013-07-28;2013-08-17;107
255;97985;2015-12-15;2016-01-02;2018-01-22;84
256;12267;2015-12-31;2016-01-20;2017-02-04;52
257;83296;2016-10-03;2016-10-15;2017-11-04;78
258;99633;2015-07-13;2015-08-15;2015-09-04;124
259;75594;2015-01-24;2015-01-27;2017-01-08;78
260;34876;2018-07-28;2018-08-14;2018-11-25;90
261;42731;2015-07-11;2015-07-15;2015-07-25;116
262;97541;2015-05-25;2015-06-01;2017-07-29;78
263;28611;2013-05-21;2013-07-03;2016-01-20;79
264;94854;2013-09-02;2013-10-09;2014-09-10;130
265;15794;2017-12-02;2017-12-20;2018-01-19;103
266;20725;2014-09-02;2014-09-09;2014-09-29;92
267;23551;2013-01-23;2013-02-10;2013-03-22;128
268;21717;2017-11-14;2017-11-28;2018-07-29;74
269;51522;2014-06-04;2014-07-12;2014-07-22;128
270;34006;2018-02-18;2018-02-24;2018-03-06;120
271;70389;2018-06-14;2018-06-20;2018-07-20;101
272;41232;2016-01-21;2016-01-24;2016-02-03;88
273;88598;2015-03-10;2015-03-20;2018-11-12;77
274;62101;2016-04-07;2016-04-25;2016-05-15;82
275;57479;2015-03-18;2015-04-01;2015-05-11;143
276;80591;2015-04-20;2015-05-05;2015-05-15;114
277;45271;2016-11-05;2016-11-21;2016-12-01;93
278;92995;2013-06-02;2013-06-13;2018-07-19;54
279;18956;2016-02-29;2016-04-15;2016-05-15;124
280;98050;2016-03-30;2016-04-06;2016-05-06;76
281;26020;2013-09-18;2013-09-22;2013-11-01;117
282;34497;2014-10-25;2014-12-01;2016-07-29;71
283;70848;2017-01-10;2017-01-23;2017-03-04;93
284;74243;2017-10-01;2017-10-11;2017-11-20;95
285;30042;2017-01-29;2017-02-11;2017-02-21;96
286;57297;2013-08-31;2013-09-13;2013-10-13;123
287;47414;2014-05-11;2014-05-26;2014-07-05;115
288;16934;2015-11-13;2015-12-22;2016-01-01;113
289;15816;2014-10-29;2014-11-12;2014-12-22;98
290;59418;2018-03-08;2018-03-22;2018-04-01;87
291;79525;2018-05-06;2018-05-12;2018-06-01;85
292;58086;2014-06-05;2014-06-17;2016-12-05;81
293;58517;2017-07-11;2017-07-17;2017-08-06;87
294;18332;2013-10-20;2013-11-02;2013-12-12;126
295;92624;2016-05-14;2016-05-31;2016-06-20;106
296;84123;2016-09-04;2016-09-10;2016-09-20;103
297;18838;2017-04-16;2017-04-19;2018-10-15;87
298;57792;2017-09-14;2017-09-29;2017-10-17;91
299;12300;2016-08-05;2016-08-15;2017-01-31;80
300;88799;2015-10-16;2015-10-21;2015-11-30;103
301;75949;2018-06-23;2018-07-06;2018-08-05;89
302;38639;2013-09-16;2013-09-29;2016-10-21;69
303;77583;2018-10-07;2018-10-17;2018-11-26;107
304;73341;2014-10-04;2014-10-22;2015-06-12;81
305;73823;2016-03-11;2016-03-31;2016-04-20;67
306;66676;2014-10-31;2014-11-12;2017-01-01;68
307;68947;2015-01-20;2015-01-23;2015-02-12;86
308;41378;2017-05-31;2017-07-11;2017-08-20;89
309;81837;2013-01-07;2013-01-12;2013-02-01;116
310;29905;2013-05-01;2013-05-05;2013-06-04;126
311;58241;2013-12-20;2014-01-26;2018-01-04;56
312;37250;2017-06-14;2017-06-17;2017-06-27;106
313;28385;2016-05-29;2016-06-04;2018-07-10;64
314;85275;2015-08-19;2015-09-01;2015-10-11;114
315;34382;2013-06-10;2013-06-18;2018-07-14;55
316;41310;2014-09-24;2014-10-12;2017-02-23;77
317;78660;2013-01-15;2013-01-27;2013-02-16;144
318;35552;2015-05-16;2015-06-22;2016-06-28;95
319;86039;2014-03-12;2014-04-19;2018-07-28;72
320;40850;2014-09-21;2014-09-27;2018-04-10;68
321;39157;2016-04-09;2016-04-13;2016-05-03;88
322;57627;2013-01-15;2013-01-20;2013-03-01;113
323;17902;2013-07-08;2013-07-27;2013-08-06;159
324;23001;2016-11-25;2016-12-08;2016-12-18;81
325;95674;2013-05-07;2013-05-14;2018-07-25;69
326;59546;2015-01-01;2015-01-07;2016-02-25;104
327;58833;2013-09-11;2013-09-14;2013-10-04;141
328;88656;2013-10-27;2013-11-14;2013-12-24;125
329;51413;2014-11-16;2014-11-28;2015-01-07;118
330;12936;2016-06-26;2016-06-30;2016-08-09;107
331;43740;2014-07-11;2014-07-28;2014-08-17;121
332;35819;2015-04-07;2015-05-16;2017-10-04;89
333;53270;2016-12-01;2016-12-05;2017-10-12;90
334;10301;2013-03-16;2013-03-29;2013-04-28;108
335;10307;2018-03-26;2018-04-06;2018-05-06;108
336;55258;2014-03-03;2014-04-13;2016-06-05;72
337;99001;2017-09-07;2017-09-18;2018-10-30;101
338;29481;2017-11-02;2017-11-19;2017-11-29;119
339;77932;2015-02-01;2015-02-17;2016-04-10;97
340;42228;2015-08-13;2015-08-17;2018-06-10;62
341;21624;2014-04-10;2014-04-24;2017-12-22;77
342;97414;2016-01-16;2016-02-24;2018-11-23;79
343;62503;2013-09-18;2013-10-06;2013-11-05;124
344;77700;2014-01-20;2014-02-01;2014-02-21;126
345;71963;2018-06-11;2018-06-25;2018-07-15;92
346;37520;2014-07-31;2014-08-15;2014-09-24;109
347;18620;2016-02-20;2016-03-31;2016-04-30;124
348;38360;2013-01-26;2013-02-14;2013-03-06;120
349;92529;2015-08-12;2015-08-21;2015-09-20;113
350;16987;2018-07-21;2018-09-04;2018-09-14;100
351;14824;2013-12-10;2013-12-24;2017-12-01;60
352;62163;2016-08-08;2016-09-22;2016-10-22;115
353;72678;2015-04-22;2015-05-02;2017-07-02;76
354;84923;2013-01-07;2013-01-18;2013-09-01;114
355;95391;2018-05-29;2018-06-01;2018-07-27;101
356;76494;2014-10-01;2014-10-14;2018-06-22;68
357;82878;2013-07-07;2013-08-12;2016-03-20;98
358;15764;2015-01-09;2015-01-29;2015-02-28;94
359;69847;2016-11-17;2016-12-01;2017-07-26;89
360;14609;2018-09-07;2018-09-24;2018-12-06;80
361;65102;2014-06-03;2014-06-20;2014-07-20;132
362;34317;2013-01-16;2013-02-02;2013-03-14;114
363;96540;2016-06-08;2016-06-25;2016-07-05;93
364;41109;2015-08-23;2015-09-03;2017-01-24;76
365;86951;2013-12-21;2014-01-04;2014-02-03;101
366;36451;2015-08-05;2015-08-23;2015-10-02;131
367;55145;2016-05-20;2016-05-23;2016-06-12;124
368;69636;2015-12-28;2016-01-04;2016-01-24;93
369;31317;2014-10-22;2014-11-08;2014-12-18;133
370;20367;2013-03-16;2013-04-05;2013-05-15;116
371;24378;2017-06-04;2017-06-18;2018-05-01;75
372;59715;2013-02-07;2013-02-12;2018-05-06;58
373;28689;2016-05-24;2016-07-04;2017-03-01;90
374;30065;2018-07-09;2018-07-20;2018-07-30;117
375;99233;2016-06-21;2016-07-04;2017-04-15;102
376;77173;2014-07-10;2014-07-19;2016-11-05;69
377;48508;2015-01-17;2015-01-26;2015-02-25;108
378;34827;2013-08-12;2013-08-16;2013-08-26;126
379;95260;2016-12-10;2016-12-22;2017-01-01;85
380;88501;2014-06-25;2014-07-04;2016-01-09;96
381;53518;2018-09-13;2018-09-24;2018-09-28;62
382;47846;2017-02-25;2017-04-11;2017-05-01;119
383;38500;2018-02-18;2018-03-05;2018-04-04;141
384;76083;2014-04-10;2014-04-13;2015-09-29;102
385;20506;2014-02-12;2014-02-24;2015-04-07;88
386;67933;2014-06-03;2014-06-14;2014-06-24;109
387;91062;2013-10-02;2013-10-18;2017-10-11;57
388;50161;2016-09-10;2016-09-21;2018-09-17;77
389;62012;2016-06-25;2016-08-01;2017-02-09;93
390;55052;2013-07-19;2013-07-23;2013-08-02;129
391;98476;2017-04-23;2017-05-02;2018-01-29;86
392;69341;2018-01-04;2018-01-24;2018-03-05;99
393;73487;2016-04-29;2016-06-11;2016-06-21;111
394;66274;2018-08-18;2018-08-30;2018-12-06;86
395;67106;2015-06-07;2015-06-18;2015-07-08;104
396;31669;2013-05-14;2013-05-26;2013-07-05;136
397;91220;2015-11-13;2015-11-18;2015-12-07;120
398;88388;2015-09-08;2015-10-16;2015-11-02;123
399;68242;2015-09-02;2015-09-20;2015-10-30;112
400;74374;2018-04-02;2018-05-17;2018-06-26;93
401;66878;2015-10-28;2015-11-06;2018-05-04;76
402;87433;2017-12-25;2018-01-02;2018-10-29;93
403;10667;2017-10-17;2017-11-24;2018-01-03;82
404;26012;2014-10-14;2014-11-21;2017-10-04;81
405;92293;2018-06-30;2018-08-10;2018-08-11;85
406;82475;2015-11-18;2015-11-27;2015-12-17;108
407;92698;2013-10-22;2013-11-28;2015-02-26;105
408;68558;2017-06-30;2017-08-05;2017-08-25;112
409;70912;2015-06-02;2015-06-15;2015-07-25;132
410;77288;2018-02-01;2018-02-11;2018-12-25;104
411;27344;2013-04-26;2013-05-06;2015-04-16;87
412;39321;2014-07-31;2014-08-03;2014-08-08;109
413;11932;2014-12-21;2015-01-27;2016-12-19;82
414;59197;2018-08-26;2018-10-10;2018-12-01;100
415;13071;2014-11-20;2014-12-05;2014-12-25;99
416;92930;2017-07-06;2017-07-18;2017-08-27;110
417;62603;2015-06-08;2015-06-12;2016-01-31;88
418;29367;2014-07-29;2014-08-09;2014-09-08;117
419;85957;2014-01-28;2014-02-09;2014-02-19;127
420;67893;2015-01-19;2015-02-01;2017-09-02;87
421;70584;2018-04-18;2018-04-23;2018-05-23;90
422;91467;2014-10-20;2014-12-04;2014-12-20;143
423;47973;2016-03-02;2016-03-12;2016-04-21;81
424;20822;2013-11-17;2013-11-23;2013-12-03;137
425;52224;2014-02-07;2014-02-21;2018-04-21;71
426;96687;2018-08-06;2018-08-11;2018-09-10;91
427;81131;2017-10-01;2017-11-11;2017-12-21;82
428;11412;2015-05-13;2015-06-19;2018-02-16;54
429;97826;2017-06-09;2017-06-15;2018-03-31;76
430;74917;2017-06-08;2017-06-23;2017-08-02;125
431;55697;2015-10-12;2015-10-29;2015-11-08;122
432;92655;2016-02-16;2016-02-29;2016-03-30;85
433;76976;2015-02-02;2015-02-10;2015-06-25;112
434;14258;2015-03-04;2015-03-17;2017-01-19;67
435;65932;2017-04-09;2017-05-24;2017-06-13;107
436;87538;2018-05-01;2018-05-19;2018-06-18;120
437;40479;2014-07-13;2014-07-17;2014-08-06;106
438;28079;2015-01-20;2015-01-25;2015-02-14;125
439;16911;2018-01-01;2018-02-07;2018-04-16;92
440;95330;2017-06-23;2017-07-31;2018-04-09;69
441;81228;2018-04-07;2018-04-22;2018-09-13;89
442;68731;2018-02-16;2018-02-20;2018-03-02;113
443;18233;2017-10-11;2017-10-20;2018-03-06;103
444;78360;2013-06-09;2013-06-13;2015-10-02;94
445;67858;2015-06-13;2015-07-24;2016-10-24;81
446;61282;2013-10-07;2013-10-10;2018-12-16;68
447;74560;2016-10-29;2016-11-04;2018-08-13;75
448;24408;2014-11-28;2014-12-05;2014-12-25;89
449;47908;2014-09-21;2014-10-06;2014-10-26;110
450;59501;2017-02-24;2017-03-03;2017-04-05;95
451;24548;2016-01-12;2016-01-18;2018-04-10;81
452;17171;2018-10-07;2018-11-13;2018-12-24;92
453;39146;2015-02-17;2015-03-03;2015-04-12;130
454;12351;2017-04-17;2017-04-29;2017-05-09;97
455;64088;2016-01-29;2016-03-09;2016-03-19;104
456;15508;2013-01-09;2013-02-20;2014-03-26;111
457;16533;2013-05-28;2013-06-09;2013-06-19;133
458;81019;2016-05-17;2016-05-23;2016-07-02;108
459;26448;2016-02-14;2016-02-20;2018-09-07;57
460;64111;2015-10-16;2015-10-29;2017-04-14;82
461;71248;2018-09-03;2018-09-18;2018-09-28;112
462;25380;2017-07-30;2017-08-08;2017-09-07;102
463;95688;2013-08-11;2013-08-25;2018-02-06;66
464;64787;2017-02-03;2017-02-20;2017-03-12;86
465;71163;2013-06-05;2013-07-20;2016-06-04;68
466;48564;2017-04-14;2017-04-20;2017-05-10;126
467;68994;2015-07-06;2015-08-17;2015-09-26;99
468;80273;2014-08-09;2014-08-21;2014-08-31;109
469;83027;2018-01-03;2018-01-21;2018-01-31;119
470;41756;2014-07-16;2014-08-04;2014-08-14;112
471;17342;2017-08-01;2017-08-09;2018-04-04;84
472;81080;2018-01-08;2018-01-12;2018-04-03;100
473;15291;2013-06-08;2013-06-16;2013-07-06;122
474;81452;2015-05-03;2015-05-07;2015-06-06;131
475;52845;2017-04-23;2017-06-03;2018-08-02;79
476;48801;2017-06-03;2017-06-23;2017-07-03;99
477;89443;2014-10-12;2014-10-22;2015-10-29;100
478;25609;2014-10-17;2014-10-21;2015-06-12;93
479;69544;2015-09-19;2015-10-08;2015-11-17;92
480;15230;2013-10-18;2013-11-29;2013-12-19;140
481;53877;2013-12-13;2013-12-31;2014-02-05;101
482;12798;2013-12-30;2014-02-06;2014-06-26;85
483;90300;2013-06-28;2013-08-13;2013-08-23;138
484;98232;2018-03-07;2018-03-15;2018-04-14;119
485;61730;2017-04-30;2017-05-10;2018-04-18;92
486;92847;2016-02-24;2016-03-06;2016-04-15;107
487;10385;2016-10-24;2016-10-29;2016-12-08;113
488;20622;2016-01-29;2016-02-05;2016-03-16;135
489;97730;2013-10-29;2013-12-05;2015-12-07;89
490;88056;2013-12-08;2013-12-18;2014-01-17;95
491;91010;2015-10-25;2015-12-09;2015-12-29;98
492;41954;2017-05-19;2017-06-03;2017-07-03;104
493;87449;2015-02-06;2015-02-21;2015-03-23;129
494;56060;2018-02-02;2018-02-13;2018-03-05;115
495;42152;2014-07-18;2014-08-02;2017-11-17;87
496;78329;2015-12-24;2015-12-29;2016-02-07;71
497;58927;2017-04-28;2017-05-01;2017-05-21;102
498;21795;2014-11-22;2014-12-07;2015-01-06;116
499;22519;2014-12-25;2015-01-10;2015-01-30;103
500;38328;2013-08-21;2013-09-03;2017-07-14;60
501;19235;2018-03-27;2018-04-09;2018-07-02;100
502;49566;2016-02-15;2016-02-27;2016-04-07;97
503;63797;2014-07-29;2014-08-12;2017-09-04;65
504;89963;2016-03-09;2016-04-15;2016-05-05;90
505;39793;2013-02-15;2013-02-28;2013-03-30;107
